cluster,size,keywords,rep_titles,intra_sim_mean,inter_sim_max,separation_margin,keyword_npmi,keyword_diversity,growth,engagement,salience,policy_relevance,relevance_n,salience_n,final_rank_score
48,40,"되너요, 특정업체, 한계정, 1400트로, 등록하자마자, 사면될까요, 몇인가요, 회원간, 마녀사냥, 해야핳가요, 공홈게더, 특정인, 구름에, 경험많고, 3년이하","['품절이라 펑해요!', 'ᄃᄉ 공홈. 페이팔 등록하자마자 해킹시도ᅮ', '므므브 일단 무통장 걸었어여', '금요일이네요~!', '곧 가을 던스도 나오는거 맞죠.?', '인스타계정 일시차단 ᅲᅲᅲᅲ 제발도와주세요\\uD83D\\uDE2D', '녀러분 구름에 던스 뜬거 아.시쥬?!']",0.8749646544456482,0.9726571440696716,-0.09769248962402344,0.3,1.0,1.0,0.0,0.44533094569760423,0.6009232401847839,0.7814742905326179,1.0,0.9344422871597853
44,39,"마른, 110사이즈, 87미, 몸무게, 의무복무기간, 큰가요, 17키, margin, light, 5y, 동등한, 입으려면, 다되가고, 의지력, 여름","['베베드피노 사이즈좀 봐주세요ᅲᅲ', '국립목포대학교 계약직 채용시험 공고', '보나츠 사이즈.', '우주복 패딩 사이즈조언', '작은아기, 마른아기 키우시는 맘님들. 옷 살 때 팁 배우고 싶습니다.', '보보 아우터 사이즈', '보나츠 사이즈 12.5키로 92 센치']",0.7263990640640259,0.9201861023902893,-0.19378703832626343,0.30228126683843815,1.0,1.0,0.0,0.41934514242516646,0.5338819026947021,0.6203440363653919,0.9312623322536501,0.8379868434871726
50,36,"댓에, 다른제품, 샀어요, 48800원, 오픈시에, 킨키즈샌들, 아울렛가서, 라이트카키, 이륜차, 안쪽, 등원룩으로, 직구, 의심스러움, 궁금한게있어요, 9에","['헌터 키즈 안쪽 택이 이렇나요?', '바이크앤샵', '김나영 신우 옷', '미샤앤퍼프. 입문해보려는데 어디서 사면 그나마 저렴한가요? 직구?!', '던스 허니듀 반바지 8692 필요하신 분 계시나요?', '이 호텔 어딘지 아시는 분!', '코코모코 커플룩']",0.7321190237998962,0.9101734161376953,-0.17805439233779907,0.1,1.0,1.0,0.0,0.3555997639972258,0.6172903776168823,0.8208118263449679,0.7626430058927574,0.7800936520284204
57,26,"가명, 전문변호사들, 보호위원회, 수석부장판사, 개인정보처리자, 서울대출신, 사회상규에, 열람권, 20년, 고민하고, 처리하, 검사장, 603호, 가명처리, 초과하여","['개인정보보호법 위반 처벌 판사님으로부터 선처 간절히 원하면', '상간녀 카톡 복구 활용 방법을 안내드립니다', '8/13 학습목표완료', '예스24 개인정보 유출, 피해 규모와 보상 방법은?', '사법정보의 수집 분석 활용 개괄', '혼틈 1문제', 'ᄋᄋᄀ) 이 공지가 의미하는 내용']",0.5643137097358704,0.8701192140579224,-0.305805504322052,0.3359083622108249,1.0,1.0,0.0,0.2726640719278084,0.6192411184310913,0.8255003271263609,0.543261446430716,0.6279331106394095
25,20,"유발, 아는게, 눈치채게, 반복하, 알아냄, 동참해, 지인, 침묵해서, 정신건강, 합리화, 이상하다, 잡아야, 어디있는지, 지시성, 미칠때","['흠 애미시발', '나 민생지원금 60만원 받았는데 왜이럼?;;;', '누가 삭제시키는 개쩌는 글 ᄃᄃᄃᄃᄃᄃᄃ 딥스', '사실유무 확인 가능한 능력자 야붕이 모집 합니다~ 무능력 꺼지고', '망상 아니고 조사가 필요합니다 ᅲᅲ 피해자 미쳐갑니다', '망상이 아닙니다 철저한 확인 조사가 필요합니다 ᅲᅲᅲᅲ', '개씨발좆같은 새끼들아 개인정보보호법 위치정보 보호법 스토킹']",0.9461056590080261,0.9854498505592346,-0.039344191551208496,0.4854643833798791,1.0,1.0,0.0,0.28176609662942653,0.5818511247634888,0.7356354853954948,0.5673381295026034,0.6178273362704708
