cluster,size,keywords,rep_titles,intra_sim_mean,inter_sim_max,separation_margin,keyword_npmi,keyword_diversity,growth,engagement,salience,policy_relevance,relevance_n,salience_n,final_rank_score
34,20,"유의할, 초등교사, 수업권, 체육관, 발달애, 연합뉴스, 분리하여, 비하, 욕설논란, 수립에, 반항에, 습관적, 유예했습니다, 광휘입니다, 비하하려","['초등학생에 욕설 교사, 아동학대 무죄?', 'KOHI 의무교육 코히 신청방법 및 수료 자세히!', '이 뭔, 거지 같으려니 그래서 2019 상주 모 중학교 상주여중 폭행한 농구부 여자? 코치는 지금 사라진 거고? 여자 코치? 애들 뺨 머리 폭행?', '광주학교폭력변호사, 교사가 학생에게 부적절한 언행을 했다면?', '수원형사변호사, 대법원, 교사의 ""싸가지 없는 "" 발언. 정서적 학대 아냐', '교사의 욕설, 아동학대죄 무혐의 불기소처분', '또 터졌다! 교사 인권침해 이번엔 살해협박까지? +초등임용고시']",0.7308148741722107,0.9349711537361145,-0.2041562795639038,0.4809733387812404,1.0,8.0,0.0,0.5276404464883883,0.6804690361022949,0.7267137992147692,1.0,0.9180141397644307
35,35,"일탈한, 진술했지, 담임교사인, 저해하거, 통제하지, 처벌하기, 이것만, 씨에겐, 유지했다, 훈계, 따르지, 넣으라, 4학년생, 넘겼다, 내자","['교실에서 ""싸가지 없는 "" 했다면.지시 거부 초등생에 교사가 발언 ""훈계로 볼 여지, 정서 학대 아니다""', '드러난 배현진의 무식과 저쪽당의 수준', '초등교사 의원면직 후 바뀐 워라밸의 뜻', '장기요양 법정의무교육 법적 근거', '<아동이 무단결석이나 무단지각을 반복하는 경우>', '성적 비속어 쓴 학생, 훈계에도 비웃음.머리채 잡은 학원강사, 판결은.?', '교사 10명 중 7명 ""교육활동 보호 없어"".올해 교권침해 경험 36% 뉴스1 2025.7.23.']",0.7037632465362549,0.9405416250228882,-0.2367783784866333,0.2890869723867069,1.0,2.375,0.0,0.4988079019988463,0.7161598205566406,0.7805778207880119,0.9274690231690255,0.8834016624547213
41,33,"판단되어, jpg, 조력, 울며, 훈육인지, 수업에, 적지, 확보해, 말투, 의제강간, 권장드립니다, 변호인, 바라보, 목적이며, 특정된","['아동학대고소장 받았다면 굿플랜과 함께 대응을', '중학생성관계, 동의여부에 상관없이 처벌될 수 있습니다', '아동음행강요 혐의, 단순한 유도였다는 말로는 부족합니다', '장애인 학교폭력, 처분 중대합니다', '아동학대 무혐의 경찰조사 앞두고 있다면 확인!', '아동복지시설에서 <아동이 규칙을 지키지 않고 고집을 부리며 악을 쓰는 경우>는 단순한 반항이 아니라 정서적 불안, 관계 문제, 또는 충동성에서 비롯된 행동', '아동학대고소처벌 조언 판단은']",0.7091997265815735,0.9165608882904053,-0.2073611617088318,0.20361870927341683,1.0,0.35714285714285715,0.0,0.41001523589582967,0.7752148509025574,0.8697028281867678,0.7041027222789211,0.7537827540512752
17,13,"이현경, 폭행하고, 취해, 선고했다고, 않겠다고, 재범하지, 잡아당겼다, 아내, 노출해, 10대, 애착, 11월, 사장, 부장판사, 자택","['초등학생 아들이 보는 앞에서 아내 뺨 때린 30대 아버지.벌금 500만원', '정읍 고깃집 폭행 사건.사장 vs 아르바이트생, 진실은 어디에', '정읍 ""내 부인에게 욕했지"".야구방망이로 고3 알바생 폭행한 고깃집 사장체포. 알바생은 ""욕한 적 없다"" 주장', '인천아동학대변호사 피의자를 위한 조언 한 마디', '아들 앞에서 아내 폭행한 30대.재판부 ""아이 상처 고려해 벌금형""', '소년체전 중등 대표선수 빰 때린 부산시유도회 회장 벌금형', ""정읍 고깃집 폭행 사건.'아내에게 욕했다'는 이유로 10대 알바생 폭행""]",0.7463564872741699,0.829185962677002,-0.08282947540283203,0.4199121725279061,1.0,4.5,0.0,0.37372009725888156,0.6060934066772461,0.6144671627476199,0.6127988881511927,0.6132993705301208
7,23,"방치한, 여행, 구속영장, 사다리차, 선풍기, 당국, 20대, 사흘, 가득한, 살배기, 진동, 신청했으, 남자친구, 2살, 악취","['두 살 아이 집에 방치하고 여행 간 20대 엄마.구속영장 기각 논란!', '""한밤중, 딸이 사라졌다"" 긴박했던 어느 여름 밤의 기록', '2016 이임숙 - 엄마의 말 공부', '""여권 만료라서."" 10살 아들 공항에 두고 떠난 부모, 아동학대 논란', '""남친 만나려고."" 폭염에 2살 아이 쓰레기집에 방치한 20대 女', '뉴질랜드에서 벌어진 충격적 사건: 2살 아이를 캐리어에 넣고 이동한 여성 체포', '경기도 양주 폭염 쓰레기 속 2살 배기 아기 아들, 아이 방치 사건 경위, 원인, 이유, 남친과 여행 간 20대 엄마 체포 왜 구속영장 기각?']",0.6963270902633667,0.7991233468055725,-0.10279625654220581,0.5121431235342031,1.0,-0.9047619047619048,0.0,0.35536460151297017,0.5947627425193787,0.5973670864122502,0.566623912607475,0.5758468647489076
