cluster,size,keywords,rep_titles,intra_sim_mean,inter_sim_max,separation_margin,keyword_npmi,keyword_diversity,growth,engagement,salience,policy_relevance,relevance_n,salience_n,final_rank_score
20,29,"대환, 금지하고, vii, 죄질, ii, 신분증, 도표, 안내, 넘긴, 도박사이트, 상대방과, 아르바이트, 형사처벌, 반복, 신용점수","['성공사례 대포통장 장집연루 체포 구속 위기라면', '생활정보 금리인하 요구권 완벽 가이드: 대출이자 줄이기 신청 대상부터 방법까지', 'RWA 11강 - RWA 프로젝트의 법적 검토', '우체국 신한카드 우정적금 최대 연 십점십오퍼 고금리 제휴 상품', '문자 보이스피싱 피해 복구 법적 절차는', '은행 대출모집법인, 1사전속제 폐지! 도대체 언제?', '남의 신분증 정보로 카드 발급시, 왜 범죄가 되는가? - 개인정보 도용의 법적 문제와 현실 사례']",0.4255099594593048,0.7833369970321655,-0.3578270375728607,0.2731851780770277,1.0,1.0,0.0,0.37947029160633156,0.752906084060669,1.0,0.8969044382994916,0.9278331068096441
19,21,"이승재, 보이스피싱상담원, 범행, 필요하시다면, 대형로펌, 테헤란, 서울특별시, 설명하였어요, 야간, 리앤컴퍼니, 상사, 선고되, 논거, 인정되기, 가담자","['시세조종 및 주가조작 단속으로 인한 자본시장법 위반 관련 압수수색 및 처벌 규정 자본시장법위반변호사상담', '전주보이스피싱변호사 보이스피싱상담원 콜센터 알바 처벌사례', '보이스피싱 경찰서 조사 홀로 대응은 위험합니다', '가족 간 범죄, 친족상도례가 있어도 처벌할 수 있을까?', '리서치를 잘 하는 변호사', '1대1 쪽지 비댓 댓글에 대한 답변은 하지 않습니다.', '자본시장법위반 법적 조언은']",0.5544098019599915,0.7659338116645813,-0.21152400970458984,0.23282447148506963,1.0,1.0,0.0,0.30513426963767254,0.62623131275177,0.7789616413032885,0.6912871287547023,0.7175894825192781
12,27,"이첩, 호박새우젓볶음, 부인한, 당연한, 오이냉국, 놀랐, 명예교수, 화장실, 윤상현, k팝, 공용, 주십사, newspic, 사내이사, 자택","[""김건희 여사 구속 직후, '관저 이전 특혜' 강제 수사 착수! 특검, 다음 타깃은?"", '2025년 8월 12일 화요일 일별검색어, 실시간 검색어, 일간검색어, 급상승 키워드, 급상승 검색어, 실시간 키워드', '이재명 정부 광복절 특사 - 형사범 2188명 사면, 83만 4499명 복권', '김 건희사주팔자 =현54세', '""아들도 며느리도 올 수 없는 묘소"". \'尹 부친\' 2주기', '구속 김건희', '김건희 - 천망회회 소이불루 天網恢恢 疏而不漏 ft. 영장실질심사 범죄 예상형량']",0.8140838742256165,0.9486173391342163,-0.13453346490859985,0.1847001605873229,1.0,1.0,0.0,0.41674202693059353,0.17981654405593872,0.0,0.9999999999999999,0.6999999999999998
17,18,"구제에, 변호사들, 청구해야, 신고센터에, 처벌하고, 하였는데요, 중요하였습니다, 문제임, 특별법입니다, 상의하시고, 개선책, 필요하였습니다, 인구, 마십시오, 상실감에","['클라이브티비 사기 피해 대처법', 'QXALX 사기 피해자 필독! 지금 바로 할 수 있는 대처법', 'ghazye 사기 사칭 주의보! 피해를 최소화하는 법', 'LEXXI 사기 피해자 지원 방법', 'henxeespy 사기 사칭 피해자라면? 지금 필요한 대응 방법', 'EXP 사기 사칭 피해 대처 방법', 'beslist.nl 사기 빠르고 안전하게 대처하는 법']",0.6657870411872864,0.8517701029777527,-0.1859830617904663,0.3178481003456541,1.0,1.0,0.0,0.2836545109256585,0.5784481167793274,0.6955834034592543,0.6318729970986168,0.650986119006808
23,18,"매도하고, 전자등록, 2017, private, gp, 내국법인, 4000억, 팔았다, 인수, 빚고, 없었습니다, 1호, 포지션, 주주에, 제거에","[""이더리움의 제도권 편입은 월가의 '자본확장 도구'일 뿐이다. 해외기관들이 얻는 이익구조"", '포트의 변화 feat, snt홀딩스', ""韓 인증에 애먹는 BYD⋯ '아토3' 이어 '씰'도 출고 지연 위기"", '3.<이재명 대통령의 약속! 이수진이 대표발의 했습니다!>', '환경부는 여전히 4대강 옹호로 일관하고 있다!', '2025년 8월 둘째주 무료추천종목', '에스원 - 시장기대치를 뛰어넘는 2분기 실적을 발표하면서 높은 수준의 배당성향을 유지할 것이라는 분석']",0.3691736161708832,0.7255118489265442,-0.356338232755661,0.13878736601851624,1.0,1.0,0.0,0.18942680181258617,0.676468014717102,0.8666210705172948,0.37123424458953536,0.5198502923678632
